query_form,complexity_score,nary_count,has_negation,has_annotation,op_FILTER,op_FILTER_NOT_EXISTS,op_OPTIONAL,op_UNION,op_GROUP_BY,op_ORDER_BY,op_LIMIT,op_DISTINCT,op_HAVING,op_BIND,op_VALUES,op_SUBQUERY,op_REGEX,op_STRSTARTS,op_COUNT,op_AGG_OTHER,operator_count,operator_diversity,join_count,nesting_depth,compositional_score,entity_count,class_count,relation_count,literal_count,namespace_count,ttr,vocab_tokens,line_count,token_count,char_count,Domain
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,8.5,4,7,3,4,5,0.3621,58,21,72,1048,TelcoQA
SELECT,23.0,0,0,1,7,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,12,5,9,2,25.5,10,2,8,10,5,0.4048,84,30,112,1293,TelcoQA
SELECT,19.5,0,1,1,1,2,3,0,0,1,0,1,0,0,0,1,0,2,0,0,11,7,6,4,27.0,7,5,3,4,5,0.3662,71,26,102,1260,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,5,2,3,3,6,0.4681,47,19,71,893,TelcoQA
SELECT,19.5,0,1,1,1,1,5,0,0,1,0,1,0,0,0,1,0,2,0,0,12,7,5,2,23.5,9,7,9,5,5,0.3107,103,35,134,1829,TelcoQA
SELECT,16.5,0,0,1,1,0,3,1,0,1,0,1,0,0,0,1,0,2,0,0,10,7,5,2,23.5,7,9,3,4,5,0.3171,82,29,114,1476,TelcoQA
SELECT,16.5,0,0,1,1,0,5,0,0,1,0,1,0,0,0,1,0,2,0,0,11,6,7,2,24.5,7,8,5,6,5,0.3472,72,32,120,1460,TelcoQA
SELECT,19.5,0,1,1,1,2,3,0,0,1,0,1,0,0,0,1,0,2,0,0,11,7,7,3,27.5,8,4,7,4,5,0.3462,78,29,108,1534,TelcoQA
SELECT,13.5,0,1,1,0,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,7,5,4,2,18.0,6,3,4,3,5,0.4681,47,20,78,978,TelcoQA
SELECT,31.5,0,0,1,1,0,9,3,0,1,0,1,0,0,0,1,0,2,0,0,18,7,10,2,31.0,15,34,23,9,5,0.2029,207,65,310,3874,TelcoQA
SELECT,10.5,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,5,5,3,3,17.5,15,10,7,9,5,0.3267,101,38,134,1732,TelcoQA
SELECT,7.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,3,2,14.5,3,2,2,3,5,0.4634,41,17,53,724,TelcoQA
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,8.5,8,18,1,3,6,0.3281,64,32,109,1215,TelcoQA
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,2,16.0,13,49,1,3,6,0.1923,130,63,233,2334,TelcoQA
SELECT,21.0,0,1,1,1,2,4,0,0,1,0,1,0,0,0,1,0,2,0,0,12,7,5,3,24.5,12,11,8,5,5,0.3143,105,35,151,1771,TelcoQA
SELECT,7.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,3,2,14.5,3,2,2,3,6,0.4634,41,18,56,771,TelcoQA
SELECT,15.0,0,0,1,1,0,4,0,0,1,0,1,0,0,0,1,0,2,0,0,10,6,5,2,21.5,6,4,3,5,5,0.4194,62,25,94,1133,TelcoQA
SELECT,15.0,0,0,1,3,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,6,2,4,6,5,0.3934,61,22,76,995,TelcoQA
SELECT,7.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,7,2,20.5,23,18,17,12,6,0.3077,156,59,203,2769,TelcoQA
SELECT,27.0,0,0,1,1,0,6,3,0,1,0,1,0,0,0,1,0,2,0,0,15,7,11,2,32.5,13,33,27,6,6,0.1667,228,57,311,3891,TelcoQA
SELECT,16.5,0,0,1,1,0,5,0,0,1,0,1,0,0,0,1,0,2,0,0,11,6,13,2,33.5,17,20,10,6,5,0.2734,139,49,190,2448,TelcoQA
SELECT,11.0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,6,5,3,2,16.5,4,2,2,4,5,0.525,40,18,61,780,TelcoQA
SELECT,16.5,0,0,1,3,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,9,5,6,2,21.0,7,2,5,6,5,0.45,60,23,87,1000,TelcoQA
SELECT,13.0,0,0,1,2,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,7,5,3,2,16.5,4,2,3,5,6,0.3922,51,21,71,1033,TelcoQA
SELECT,21.0,0,0,1,1,0,4,2,0,1,0,1,0,0,0,1,0,2,0,0,12,7,6,2,25.0,9,13,9,5,5,0.287,108,38,157,1848,TelcoQA
SELECT,19.5,0,1,1,1,1,5,0,0,1,0,1,0,0,0,1,0,2,0,0,12,7,10,3,32.0,14,15,12,6,6,0.2632,133,48,178,2384,TelcoQA
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,8.5,5,4,6,6,5,0.3906,64,25,74,1148,TelcoQA
SELECT,19.5,0,1,1,1,1,5,0,0,1,0,1,0,0,0,1,0,2,0,0,12,7,9,2,29.5,9,13,4,6,5,0.3441,93,37,151,1625,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,5,2,4,3,5,0.4889,45,19,72,885,TelcoQA
SELECT,7.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,3,2,14.5,16,12,7,9,5,0.3578,109,39,139,1707,TelcoQA
ASK,13.5,0,0,1,1,0,3,0,0,1,0,1,0,0,0,1,0,2,0,0,9,6,4,2,20.0,10,6,10,4,5,0.3409,88,33,112,1560,TelcoQA
SELECT,16.5,0,1,1,1,1,3,0,0,1,0,1,0,0,0,1,0,2,0,0,10,7,3,2,20.5,7,2,3,4,5,0.4737,57,23,86,1071,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,5,2,3,3,6,0.4681,47,19,71,893,TelcoQA
SELECT,12.0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,1,0,2,0,0,8,6,2,2,17.0,5,1,2,3,5,0.4694,49,21,61,884,TelcoQA
SELECT,12.0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,1,0,2,0,0,8,6,4,2,20.0,5,1,4,3,5,0.4151,53,23,65,1010,TelcoQA
SELECT,16.5,0,1,1,1,1,3,0,0,1,0,1,0,0,0,1,0,2,0,0,10,7,6,2,25.0,6,5,3,4,6,0.3425,73,27,102,1297,TelcoQA
SELECT,24.0,0,0,1,1,0,4,3,0,1,0,1,0,0,0,1,0,2,0,0,13,7,6,2,25.0,8,15,9,4,5,0.2393,117,38,168,1953,TelcoQA
SELECT,16.5,0,0,1,1,0,5,0,0,1,0,1,0,0,0,1,0,2,0,0,11,6,8,2,26.0,10,9,6,6,5,0.3407,91,34,130,1588,TelcoQA
SELECT,11.0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,6,5,3,2,16.5,4,2,2,4,6,0.5128,39,19,63,815,TelcoQA
SELECT,15.0,0,1,1,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,6,2,4,4,6,0.4727,55,21,84,1061,TelcoQA
SELECT,16.5,0,1,1,1,1,3,0,0,1,0,1,0,0,0,1,0,2,0,0,10,7,4,3,23.0,7,7,6,4,5,0.3488,86,29,118,1462,TelcoQA
SELECT,10.5,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,5,5,2,3,16.0,12,7,8,9,5,0.2941,102,36,120,1852,TelcoQA
SELECT,15.0,0,0,1,1,0,4,0,0,1,0,1,0,0,0,1,0,2,0,0,10,6,4,2,20.0,6,3,8,5,5,0.3881,67,29,100,1355,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,4,2,3,3,6,0.4565,46,19,71,886,TelcoQA
SELECT,18.0,0,1,1,1,1,4,0,0,1,0,1,0,0,0,1,0,2,0,0,11,7,7,3,27.5,8,8,4,4,5,0.36,75,30,118,1420,TelcoQA
SELECT,15.0,0,1,1,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,5,2,4,4,6,0.463,54,21,84,1054,TelcoQA
SELECT,11.0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,6,5,3,2,16.5,4,2,2,4,5,0.4773,44,18,60,796,TelcoQA
SELECT,15.0,0,0,1,1,0,4,0,0,1,0,1,0,0,0,1,0,2,0,0,10,6,7,2,24.5,7,8,5,5,5,0.375,80,31,120,1393,TelcoQA
SELECT,16.5,0,1,1,1,1,3,0,0,1,0,1,0,0,0,1,0,2,0,0,10,7,5,3,24.5,11,4,10,4,5,0.3902,82,31,109,1504,TelcoQA
SELECT,21.0,0,0,1,1,0,8,0,0,1,0,1,0,0,0,1,0,2,0,0,14,6,7,2,24.5,11,8,8,9,6,0.3611,108,39,155,1989,TelcoQA
SELECT,14.0,1,0,1,1,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,9,2,25.5,12,2,14,4,6,0.3656,93,32,122,1597,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,4,2,3,3,5,0.4565,46,18,68,839,TelcoQA
SELECT,7.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,3,2,14.5,18,8,13,10,6,0.375,104,42,137,2021,TelcoQA
SELECT,19.5,0,1,1,1,2,3,0,0,1,0,1,0,0,0,1,0,2,0,0,11,7,6,3,26.0,10,13,8,4,6,0.2903,93,40,148,1881,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,4,2,3,3,5,0.4565,46,18,68,839,TelcoQA
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,10.0,9,20,1,3,6,0.3239,71,34,117,1255,TelcoQA
SELECT,12.0,1,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,9,2,23.5,15,3,24,3,6,0.2197,132,43,161,2486,TelcoQA
SELECT,19.5,0,1,1,1,1,5,0,0,1,0,1,0,0,0,1,0,2,0,0,12,7,5,3,24.5,7,15,9,6,6,0.2804,107,40,170,2229,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,4,2,3,3,6,0.4565,46,19,71,886,TelcoQA
SELECT,24.0,0,1,1,1,2,6,0,0,1,0,1,0,0,0,1,0,2,0,0,14,7,10,3,32.0,10,10,9,7,5,0.3051,118,41,164,2067,TelcoQA
SELECT,12.0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,1,0,2,0,0,8,6,3,2,18.5,4,2,1,3,6,0.4314,51,21,67,930,TelcoQA
SELECT,12.0,1,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,5,2,17.5,5,3,6,3,5,0.3448,58,24,86,1198,TelcoQA
SELECT,15.0,0,0,1,1,0,4,0,0,1,0,1,0,0,0,1,0,2,0,0,10,6,5,2,21.5,7,5,6,5,5,0.3718,78,29,104,1439,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,4,2,3,3,5,0.4565,46,18,68,839,TelcoQA
SELECT,13.5,0,1,1,0,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,7,5,7,2,22.5,7,3,6,3,5,0.4154,65,22,90,1005,TelcoQA
SELECT,10.5,0,0,1,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,6,4,4,2,16.0,5,2,3,3,5,0.4681,47,18,65,887,TelcoQA
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,10.0,9,14,1,3,6,0.3433,67,28,93,1153,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,5,2,3,3,6,0.4681,47,19,71,895,TelcoQA
SELECT,16.5,0,0,1,1,0,5,0,0,1,0,1,0,0,0,1,0,2,0,0,11,6,7,2,24.5,7,5,6,6,5,0.4054,74,30,115,1370,TelcoQA
SELECT,16.5,0,1,1,1,1,3,0,0,1,0,1,0,0,0,1,0,2,0,0,10,7,6,3,26.0,8,6,10,4,6,0.3,90,35,118,1737,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,4,2,3,3,6,0.4565,46,19,71,886,TelcoQA
SELECT,10.5,0,0,1,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,6,4,4,2,16.0,6,2,3,3,5,0.5116,43,18,65,839,TelcoQA
ASK,4.5,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,9.0,8,8,1,4,6,0.4808,52,23,78,941,TelcoQA
SELECT,33.0,0,1,1,1,1,10,2,0,1,0,1,0,0,0,1,0,2,0,0,19,8,5,3,26.5,6,9,11,11,5,0.3551,107,45,196,2179,TelcoQA
ASK,28.5,0,1,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,4,2,12.0,8,20,1,12,6,0.2526,95,43,198,1829,TelcoQA
SELECT,15.0,0,1,1,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,6,2,4,4,6,0.463,54,21,84,1060,TelcoQA
SELECT,16.5,0,0,1,1,0,5,0,0,1,0,1,0,0,0,1,0,2,0,0,11,6,6,2,23.0,6,5,5,6,5,0.3846,78,29,109,1376,TelcoQA
SELECT,15.0,0,1,1,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,6,2,4,4,5,0.4727,55,20,81,1016,TelcoQA
SELECT,16.5,0,0,1,1,0,5,0,0,1,0,1,0,0,0,1,0,2,0,0,11,6,4,2,20.0,5,3,4,6,6,0.3784,74,27,101,1282,TelcoQA
SELECT,15.0,0,0,1,1,0,4,0,0,1,0,1,0,0,0,1,0,2,0,0,10,6,7,2,24.5,8,10,5,5,6,0.3043,92,34,126,1697,TelcoQA
SELECT,7.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,2,2,13.0,5,4,5,5,5,0.35,60,25,73,1229,TelcoQA
SELECT,22.5,0,1,1,1,1,7,0,0,1,0,1,0,0,0,1,0,2,0,0,14,7,9,3,30.5,15,14,15,7,6,0.2786,140,51,193,2560,TelcoQA
SELECT,15.0,0,1,1,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,6,2,4,4,6,0.4727,55,21,84,1061,TelcoQA
SELECT,24.0,0,1,1,1,3,4,0,0,1,0,1,0,0,0,1,0,2,0,0,13,7,3,5,23.5,5,8,7,5,5,0.325,80,36,133,1764,TelcoQA
SELECT,15.0,0,0,1,3,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,6,2,4,6,5,0.4444,54,22,80,946,TelcoQA
SELECT,7.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,3,2,14.5,3,2,2,3,5,0.4634,41,17,53,724,TelcoQA
SELECT,19.0,0,0,1,5,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,10,5,7,2,22.5,8,2,6,8,5,0.3506,77,26,93,1202,TelcoQA
SELECT,15.0,0,0,1,3,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,6,2,4,6,5,0.4444,54,22,77,953,TelcoQA
SELECT,16.5,0,1,1,1,1,3,0,0,1,0,1,0,0,0,1,0,2,0,0,10,7,5,2,23.5,6,4,3,4,5,0.3836,73,25,96,1175,TelcoQA
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5.5,3,1,3,3,5,0.4595,37,19,42,773,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,5,2,3,3,5,0.4681,47,18,68,846,TelcoQA
SELECT,7.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,4,2,16.0,8,8,4,4,6,0.4,55,28,91,1173,TelcoQA
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5.5,3,4,1,4,5,0.4524,42,18,52,772,TelcoQA
SELECT,7.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,4,2,16.0,9,5,6,5,5,0.3478,69,27,82,1313,TelcoQA
SELECT,24.0,0,1,1,1,2,6,0,0,1,0,1,0,0,0,1,0,2,0,0,14,7,10,4,33.0,11,14,9,6,5,0.2941,119,44,176,2297,TelcoQA
SELECT,11.0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,6,5,3,2,16.5,4,2,2,4,5,0.4651,43,18,60,770,TelcoQA
SELECT,13.0,0,0,1,2,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,7,5,4,2,18.0,5,2,3,5,5,0.4528,53,20,69,880,TelcoQA
SELECT,33.0,0,1,1,1,1,8,3,0,1,0,1,0,0,0,1,0,2,0,0,18,8,10,2,33.0,14,38,28,8,6,0.2009,214,66,350,3976,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,5,2,4,3,6,0.4783,46,20,75,939,TelcoQA
SELECT,19.0,0,0,1,5,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,10,5,7,2,22.5,8,2,6,8,6,0.3636,77,27,98,1263,TelcoQA
SELECT,31.5,0,1,1,1,4,7,0,0,1,0,1,0,0,0,1,0,2,0,0,17,7,14,5,40.0,19,22,21,7,6,0.235,200,67,264,3509,TelcoQA
SELECT,15.0,0,0,1,1,0,4,0,0,1,0,1,0,0,0,1,0,2,0,0,10,6,5,2,21.5,6,4,4,5,6,0.375,72,27,99,1269,TelcoQA
SELECT,18.0,0,1,1,1,1,4,0,0,1,0,1,0,0,0,1,0,2,0,0,11,7,8,3,29.0,12,13,12,5,5,0.2705,122,44,160,2162,TelcoQA
SELECT,12.0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,1,0,2,0,0,8,6,3,2,18.5,4,2,1,3,5,0.4,50,20,64,887,TelcoQA
SELECT,16.5,0,1,1,1,1,3,0,0,1,0,1,0,0,0,1,0,2,0,0,10,7,5,3,24.5,7,5,5,4,5,0.3514,74,27,99,1309,TelcoQA
SELECT,15.0,0,1,1,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,5,2,4,4,6,0.463,54,21,84,1054,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,4,2,3,3,6,0.4565,46,19,71,886,TelcoQA
SELECT,15.0,0,0,1,1,0,4,0,0,1,0,1,0,0,0,1,0,2,0,0,10,6,7,2,24.5,9,13,9,5,6,0.299,97,41,148,1901,TelcoQA
SELECT,15.0,0,1,1,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,6,2,4,4,6,0.4727,55,21,84,1061,TelcoQA
SELECT,16.5,0,1,1,1,1,3,0,0,1,0,1,0,0,0,1,0,2,0,0,10,7,3,3,21.5,5,2,6,4,5,0.3803,71,25,87,1316,TelcoQA
SELECT,10.5,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,5,5,1,3,14.5,4,2,1,6,5,0.5111,45,20,67,880,TelcoQA
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,11.5,12,17,14,6,6,0.3571,98,47,153,1941,TelcoQA
SELECT,7.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,3,2,14.5,3,2,2,3,5,0.4634,41,17,53,724,TelcoQA
SELECT,12.0,0,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,4,2,16.0,5,2,3,3,5,0.4681,47,18,68,846,TelcoQA
SELECT,24.0,0,0,1,1,0,10,0,0,1,0,1,0,0,0,1,0,2,0,0,16,6,9,2,27.5,10,10,5,11,5,0.3636,110,39,170,1994,TelcoQA
ASK,10.5,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,7.5,5,7,1,6,5,0.4,50,23,89,978,TelcoQA
SELECT,21.0,0,1,1,1,1,6,0,0,1,0,1,0,0,0,1,0,2,0,0,13,7,6,2,25.0,6,6,4,7,5,0.3474,95,31,129,1466,TelcoQA
SELECT,18.0,0,0,1,1,0,6,0,0,1,0,1,0,0,0,1,0,2,0,0,12,6,6,2,23.0,7,6,4,7,6,0.378,82,31,121,1487,TelcoQA
SELECT,15.0,0,0,1,1,0,4,0,0,1,0,1,0,0,0,1,0,2,0,0,10,6,3,2,18.5,4,2,1,5,5,0.4407,59,21,79,1012,TelcoQA
SELECT,7.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,4,2,16.0,8,4,6,5,5,0.377,61,25,76,1197,TelcoQA
SELECT,12.0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,1,0,2,0,0,8,6,4,2,20.0,5,3,5,3,5,0.3833,60,25,79,1111,TelcoQA
SELECT,32.5,1,0,1,2,0,5,5,0,1,0,1,0,0,0,1,0,0,0,0,15,6,13,2,33.5,14,73,17,5,6,0.1709,234,40,441,3890,TelcoQA
SELECT,21.0,0,0,1,1,0,8,0,0,1,0,1,0,0,0,1,0,2,0,0,14,6,7,2,24.5,8,11,8,9,6,0.3036,112,42,169,2005,TelcoQA
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,13.0,8,20,1,3,5,0.274,73,33,114,1299,TelcoQA
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,13.0,11,13,14,6,6,0.3273,110,43,137,2032,TelcoQA
SELECT,22.5,0,0,1,1,0,5,2,0,1,0,1,0,0,0,1,0,2,0,0,13,7,8,2,28.0,10,17,7,5,5,0.2441,127,37,171,2103,TelcoQA
SELECT,10.5,0,0,1,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,6,4,4,2,16.0,6,2,3,3,6,0.5116,43,19,68,886,TelcoQA
SELECT,15.0,0,1,1,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,5,2,4,4,5,0.463,54,20,81,1007,TelcoQA
SELECT,12.0,1,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,5,2,17.5,6,3,6,3,5,0.3833,60,24,86,1120,TelcoQA
SELECT,22.5,0,1,1,1,1,7,0,0,1,0,1,0,0,0,1,0,2,0,0,14,7,6,3,26.0,10,11,9,7,6,0.3391,115,41,168,2088,TelcoQA
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,7.0,5,3,6,5,5,0.52,50,23,67,978,TelcoQA
SELECT,15.0,0,1,1,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,8,5,5,2,19.5,5,2,4,4,6,0.4545,55,21,84,1065,TelcoQA
ASK,1.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,7.0,4,4,3,5,5,0.4565,46,21,63,899,TelcoQA
